"grid","easting","northing","era5_raw","era5_smooth","residual_pct"
"NC96",295000,965000,925105.475555556,925159.945759408,-0.00588765262723506
"ND01",305000,915000,969838.684444444,955521.958539515,1.49831469355368
"ND02",305000,925000,960858.275555556,951497.136771407,0.9838325752522
"ND03",305000,935000,960858.275555556,945878.795488055,1.58365745579183
"ND04",305000,945000,934277.173333333,939343.728045825,-0.539371750853316
"ND05",305000,955000,925105.475555556,932825.915891647,-0.827639992046311
"ND06",305000,965000,925105.475555556,927266.261168917,-0.233027524439176
"ND07",305000,975000,911690.4,923220.456975049,-1.24889530858394
"ND11",315000,915000,969838.684444444,966515.28083388,0.343854223152786
"ND12",315000,925000,960858.275555556,960965.566046811,-0.0111648632424139
"ND13",315000,935000,960858.275555556,953851.258224853,0.734602724511079
"ND14",315000,945000,934277.173333333,945925.068024602,-1.23137604499617
"ND15",315000,955000,934277.173333333,938195.723016005,-0.417668678991021
"ND16",315000,965000,934277.173333333,931621.41598004,0.285068302181442
"ND17",315000,975000,919995.022222222,926739.570950481,-0.72777174296565
"ND19",315000,995000,919995.022222222,922070.288271263,-0.225065927775571
"ND23",325000,935000,973337.511111111,962436.75474016,1.13262054023422
"ND24",325000,945000,945258.346666667,953822.99577531,-0.897928561858715
"ND25",325000,955000,945258.346666667,945470.717153835,-0.0224618788625488
"ND26",325000,965000,945258.346666667,938327.336387305,0.738655905096723
"ND27",325000,975000,931062.293333333,932863.203052349,-0.19305185509764
"ND28",325000,985000,931062.293333333,929220.862821685,0.198169303480438
"ND29",325000,995000,931062.293333333,927469.034930703,0.387426239292055
"ND33",335000,935000,982589.973333333,971441.719638527,1.14759881827545
"ND34",335000,945000,954997.848888889,962713.403897579,-0.801438411208752
"ND35",335000,955000,954997.848888889,954253.831492503,0.0779684997672177
"ND36",335000,965000,954997.848888889,946881.855364883,0.857128423997385
"ND37",335000,975000,943871.2,941214.517464584,0.282261109037389
"ND38",335000,985000,943871.2,937385.795684875,0.691860741327596
"ND39",335000,995000,931062.293333333,935515.676591135,-0.476035128992033
"ND46",345000,965000,954997.848888889,956767.162653296,-0.184926263512278
"ND47",345000,975000,943871.2,951168.785256981,-0.767222954547397
"ND48",345000,985000,943871.2,947418.82681323,-0.374451796061859
"ND49",345000,995000,943871.2,945451.188979314,-0.167114812243211
"ND59",355000,995000,957818.542222222,956027.105141312,0.187383503174371
"ND69",365000,995000,976974.56,966096.721955568,1.12595745303978
"NF09",5000,895000,977398.026666667,976943.756615354,0.0464990996908798
"NF19",15000,895000,978624.853333333,975658.491964569,0.304036852361297
"NF56",55000,865000,993029.048888889,994225.106420554,-0.12030047561074
"NF57",55000,875000,974541.973333333,987239.117701247,-1.2861265462696
"NF58",55000,885000,974541.973333333,980199.35697105,-0.57716663426493
"NF60",65000,805000,1023392.33777778,1021624.04927924,0.173086029032713
"NF61",65000,815000,1023392.33777778,1016976.9221182,0.630831980553851
"NF62",65000,825000,1015574.63111111,1012293.0911547,0.324168957102383
"NF63",65000,835000,1015574.63111111,1007479.65396726,0.803487902904028
"NF65",65000,855000,995046.648888889,997020.748019481,-0.19799980436855
"NF66",65000,865000,995046.648888889,991206.979486581,0.387373120021491
"NF67",65000,875000,971724.871111111,985007.98689249,-1.34852873866383
"NF68",65000,885000,974541.973333333,978618.525339963,-0.41656190855506
"NF70",75000,805000,1013406.72,1011581.42497172,0.180439753362194
"NF71",75000,815000,1013406.72,1007526.8556137,0.583593812267694
"NF72",75000,825000,1015574.63111111,1003642.75164642,1.18885723481945
"NF73",75000,835000,1015574.63111111,999796.542720921,1.57812992103879
"NF74",75000,845000,995046.648888889,995897.075032677,-0.0853929753494335
"NF75",75000,855000,995046.648888889,991710.622275554,0.336391134510638
"NF76",75000,865000,995046.648888889,987090.266119175,0.806044091691298
"NF77",75000,875000,971724.871111111,981932.117005479,-1.0395062670418
"NF80",85000,805000,1013406.72,998952.516369148,1.44693600486514
"NF81",85000,815000,1013406.72,995497.886794042,1.79898254366295
"NF82",85000,825000,1002249.13777778,992539.954513239,0.978215861274834
"NF83",85000,835000,1002249.13777778,989894.382056701,1.24808827537811
"NF84",85000,845000,983928.693333333,987406.14602984,-0.352180580452049
"NF85",85000,855000,983928.693333333,984761.904232769,-0.0846103911873608
"NF86",85000,865000,983928.693333333,981637.872634003,0.233367187961411
"NF87",85000,875000,966346.346666667,977824.323588439,-1.17382812483635
"NF88",85000,885000,966346.346666667,973444.320841491,-0.729160777135021
"NF89",85000,895000,966346.346666667,968794.076956191,-0.25265743750365
"NF95",95000,855000,973962.311111111,976036.139158799,-0.212474514465759
"NF96",95000,865000,973962.311111111,974671.828679821,-0.0727955346437692
"NF97",95000,875000,961012.053333333,972528.573879812,-1.18418325751959
"NF98",95000,885000,966346.346666667,969644.587805661,-0.340149491934847
"NF99",95000,895000,966346.346666667,966297.097309383,0.00509670963728248
"NG07",105000,875000,961012.053333333,965965.452786799,-0.512792609629566
"NG08",105000,885000,961012.053333333,964959.926917914,-0.409123060393815
"NG09",105000,895000,961012.053333333,963301.796375203,-0.237697370697935
